fecha,humedad_media_dia,humedad_min_dia,humedad_max_dia,temp_suelo_media_dia,temp_suelo_min_dia,temp_suelo_max_dia,bateria_media_dia_mv,panel_solar_media_dia_mv,variacion_humedad_dia,n_registros_dia
2024-03-12,46.11244791666667,45.863749999999996,46.28125,11.59828125,9.21,14.11,6658.833333333333,4706.083333333333,0.417500000000004,24
2024-03-13,45.699947916666666,45.44,45.865,11.900989583333333,9.91,14.35,6665.875,4946.541666666667,0.42500000000000426,24
2024-03-14,45.318333333333335,45.07625,45.4525,12.275572916666667,10.59,15.32,6664.833333333333,4878.791666666667,0.37624999999999886,24
2024-03-15,44.91817708333334,44.62625,45.0625,12.683385416666667,11.02,15.87,6665.291666666667,4762.125,0.43625000000000114,24
2024-03-16,44.38583333333333,44.11875,44.606249999999996,13.159010416666668,11.85,16.68,6667.208333333333,4820.916666666667,0.48749999999999716,24
2024-03-17,43.87380208333334,43.585,44.0975,13.693125,12.9,17.04,6674.041666666667,4867.708333333333,0.5124999999999957,24
2024-03-18,43.44442708333333,43.2275,43.57625,14.050104166666666,13.15,16.82,6675.833333333333,4852.833333333333,0.34875000000000256,24
2024-03-19,42.98463541666666,42.692499999999995,43.198750000000004,14.502604166666666,13.63,17.87,6676.541666666667,4852.833333333333,0.5062500000000085,24
2024-03-20,42.60645833333333,42.45,42.70125,14.752552083333335,13.94,16.6,6666.125,4618.833333333333,0.25124999999999886,24
2024-03-21,42.23223958333333,41.84375,42.488749999999996,14.906197916666665,14.1,17.29,6679.375,4881.041666666667,0.644999999999996,24
2024-03-22,41.51536458333333,41.10375,41.82625,15.365104166666667,14.52,18.01,6678.791666666667,4631.666666666667,0.7225000000000037,24
2024-03-23,40.79140625,40.36125,41.09625,15.710468749999999,14.79,18.7,6668.75,4696.458333333333,0.7349999999999994,24
2024-03-24,40.24630208333333,40.14875000000001,40.35125,15.723229166666668,15.04,16.81,6663.625,4429.875,0.20249999999999346,24
2024-03-25,41.25171875,40.135000000000005,43.113749999999996,15.532552083333334,14.33,16.09,6652.166666666667,4365.083333333333,2.978749999999991,24
2024-03-26,43.123124999999995,42.97624999999999,43.2575,14.842500000000001,11.97,15.63,6664.5,5000.541666666667,0.2812500000000071,24
2024-03-27,43.64890625,42.995000000000005,43.917500000000004,14.168229166666668,11.61,15.4,6668.166666666667,4712.875,0.9224999999999994,24
2024-03-28,47.38166666666667,43.95625,48.725,14.081666666666665,12.69,15.09,6661.833333333333,4499.75,4.768750000000004,24
2024-03-29,48.93760416666667,48.03875,49.76625,13.97515625,12.32,14.81,6662.708333333333,4776.75,1.7274999999999991,24
2024-03-30,50.49552083333333,49.47875,51.32125,13.482604166666667,11.3,14.69,6671.291666666667,4680.291666666667,1.8425000000000011,24
2024-03-31,51.53338541666667,50.30125,52.53875,12.975104166666668,10.66,14.46,6651.125,4402.833333333333,2.237499999999997,24
2024-04-01,50.10583333333333,49.30625,50.88875,12.695208333333333,10.65,14.11,6672.666666666667,5150.458333333333,1.5825000000000031,24
2024-04-02,48.74286458333333,48.08125,49.27875,12.86390625,10.63,13.88,6674.666666666667,5220.625,1.1975000000000051,24
2024-04-03,47.65229166666666,47.1875,48.04625,13.283489583333333,11.97,15.76,6672.291666666667,5115.916666666667,0.8587500000000006,24
2024-04-04,46.871874999999996,46.43125,47.16375,13.786145833333334,12.21,16.58,6676.875,5104.625,0.7325000000000017,24
2024-04-05,46.1159375,45.68875,46.4025,14.294114583333332,13.03,17.17,6681.625,5081.916666666667,0.7137500000000045,24
2024-04-06,45.46937500000001,45.14875,45.691250000000004,14.793333333333335,13.97,17.17,6681.416666666667,4932.708333333333,0.542500000000004,24
2024-04-07,44.895208333333336,44.50375,45.11875,15.379322916666666,14.5,18.36,6687.25,5114.833333333333,0.615000000000002,24
2024-04-08,44.27583333333333,43.96,44.489999999999995,15.6815625,14.81,17.18,6676.416666666667,5192.833333333333,0.529999999999994,24
2024-04-09,43.74630208333334,43.355000000000004,43.95375,15.503229166666666,13.05,18.45,6679.125,5438.083333333333,0.5987499999999955,24
2024-04-10,43.154947916666664,42.739999999999995,43.34625,15.469583333333333,12.8,20.12,6671.166666666667,5207.791666666667,0.6062500000000028,24
